tconst,Rating,Votes,Type,Year,Title,Minutes
tt0816692,8.6,1790927,movie,2014,Interstellar,169
tt0993846,8.2,1384128,movie,2013,The Wolf of Wall Street,180
tt0848228,8,1379652,movie,2012,The Avengers,143
tt0800369,7,843189,movie,2011,Thor,115
tt0458339,6.9,838292,movie,2011,Captain America: The First Avenger,124
