tconst;Rating;Votes;Type;Year;Title;Adult;Minutes
tt0479807;8.2;14;movie;2011;Abhishapt;0;\N
tt0949872;6.6;14;movie;2014;Coffee Sex You;0;88
tt0460957;8.7;13;movie;2012;Texxas Jam '78;0;60
tt0977643;5.6;11;movie;2015;Chooriyan;0;\N
tt0972848;7.7;11;movie;2011;Lives and Deaths of the Poets;0;93
tt0875612;7.1;8;movie;2011;Rain Falls from Earth: Surviving Cambodia's Darkest Hour;0;\N
tt0770819;8.5;10;movie;2011;She's Out of His Mind;0;80
tt0485535;5.3;9;movie;2014;Dil Ka Sauda;0;136
tt0871891;5.7;8;movie;2012;The Nightclub Days;0;\N
tt0484037;8.8;7;movie;2011;Gente mala del norte;0;97
