,Date,User,Tweet
31,2022-11-16 23:02:06+00:00,STUCKWlTHKOO,"@woodzender mamma mia is a perfect film and so is the godfather. I also have an attachment to wolf of wall street, the man from uncle, Lucy, inception, burlesque, the devil wears Prada and probably more films that I'll be super ashamed I forgot but alas"
32,2022-11-16 22:28:54+00:00,TwerkMcguirk,@theashleyray @feraljokes I just caught the wolf of wall street last night so in my mind it's Leo that pissed his pants on your plane.
33,2022-11-16 22:13:30+00:00,TarotDarma,"Film-film tersebut antara lain Gangs of New York (2002), The Aviator (2004), The Departed (2006), Shutter Island (2010) dan The Wolf of Wall Street (2013). 

#HappyBirthday
#MartinScorsese https://t.co/nIlO3AbalL"
34,2022-11-16 22:04:45+00:00,benjanzenfilm,“Deranged lovechild of La La Land and The Wolf of Wall Street” is EXACTLY what I was hoping this film was going to be😭😭 Cannot wait https://t.co/DGL7CKBVon
35,2022-11-16 22:01:34+00:00,MarissaH860,Blow and The Wolf of Wall Street are literally the same movie
36,2022-11-16 22:00:02+00:00,filmquotesfacts,"#Bales2022FilmChallenge #365Movies 
@bales1181

Day 17: someone with a lot of testosterone in movie

The Wolf of Wall Street (2013) https://t.co/7Op1vC18og"
37,2022-11-16 21:54:04+00:00,awest505,What do you know. Yesterday I talked about a commentary with @selfstyledsiren and @Glenn__Kenny. And then rewatched Wolf of Wall Street. Today I checked the special features and Glenn is back at it with @NickPinkerton. https://t.co/grCWZgRtib
38,2022-11-16 21:28:19+00:00,Klee_FilmReview,"#BabylonMovie is insane, like a deranged lovechild of La La Land and The Wolf of Wall Street, full of awful but talented, endlessly watchable characters. It’s both a celebration and a condemnation. Damien Chazelle is a master of sequences and building each one to a crescendo. https://t.co/5eoJDyVUSv"
39,2022-11-16 21:13:14+00:00,ArtDirectorBYU,"@steve_pierce Didn't you see Wolf of Wall Street? Investigators don't know anything. Also, I only watched like the first two hours of the movie."
40,2022-11-16 21:12:20+00:00,TheKillingBloke,"@batdollars Mercari is a merchant app like eBay or something, I was making SALES the other day. 😭

Wolf of Wall Street type beat

BRO DROPPED A BAG ON COD. 🤣

Nah no worries, I’ll probably be dropping a hefty bag on movies and games soon. 💀 https://t.co/gsgLeZeVtA"
41,2022-11-16 20:57:48+00:00,DumbJosh,"@dceiver it's the wolf of wall street but instead of a handsome playboy conman, it's a fat nerd that convinced people to give him real money in exchange pretend money"
42,2022-11-16 20:51:00+00:00,AMindOnFire,"The Wolf of Wall Street (2013)
d. Martin Scorsese 
It's not in every movie you can pinpoint the moment the protagonist either stays the hero or becomes a villain. This is Jordan Belfort's moment- stay with his wife or leave and become a villain.
#FilmTwitter #MustSee #Classics https://t.co/ssLB3TPTbI"
43,2022-11-16 20:49:38+00:00,amnon96,‘It’s Dangerous’: Margot Robbie Says She Almost Quit Acting After Shooting To Fame Following ‘The Wolf Of Wall Street’ https://t.co/WneBfcq93l
44,2022-11-16 20:47:36+00:00,LAutre_Club,"C'est demain les 80 ans de Scorsese 🎂! De Casino à Raging Bull en passant par Taxi Driver ou The Wolf of Wall Street, l'éternel féminin y apparait avec un thème récurrent, mais lequel?"
45,2022-11-16 20:46:44+00:00,GianlucaOdinson,Margot Robbie non era certa di voler continuare a fare l’attrice dopo The Wolf of Wall Street  https://t.co/1HgYy0e2xl via @badtasteit
46,2022-11-16 20:46:13+00:00,ActiveSpirited,@RiemaNGag @partimegod_ Böyle diye diye portföyümden bi harcama yapamıyorum bakma sen buna hepimize wolf of the wall Street çekiyo fkdkdksks
47,2022-11-16 20:43:26+00:00,LewisCypher9,@the4kCollectivE @UltraHDBluray @ArrowFilmsVideo I only watched The Wolf of Wall Street a few months ago and I really loved it.👍👍👍
48,2022-11-16 20:00:09+00:00,real_DRN,"‘It’s Dangerous’: Margot Robbie Says She Almost Quit Acting After Shooting To Fame Following ‘The Wolf Of Wall Street’ 
 
Margot Robbie said she almost quit acting after shooting to fame following her break-out role in ""The Wolf of ...
https://t.co/XXD1qW2eaI"
49,2022-11-16 19:58:54+00:00,Sakurocket_Bot,"(Throwing money at FBI agents) Fun coupons!
 Jordan Belfort, The Wolf of Wall Street"
50,2022-11-16 19:57:32+00:00,DailyWireNews,‘It’s Dangerous’: Margot Robbie Says She Almost Quit Acting After Shooting To Fame Following ‘The Wolf Of Wall Street’ https://t.co/ZmTkStWvlg
51,2022-11-16 19:55:44+00:00,bouncenationke,Margot Robbie almost quit Hollywood after The Wolf of Wall Street https://t.co/Na9J9hYliz
52,2022-11-16 19:53:10+00:00,abatometro,@torigemelle @EItonMcCartney dio cane hai visto intergalattic 45 volte ma mai the wolf of wall street io non ho parole
53,2022-11-16 19:45:21+00:00,suzygreenbergjr,"All these reports coming out of Twitter HQ make it sound like the Wolf of Wall Street, quaaludes included"
54,2022-11-16 19:42:33+00:00,longlivebtc,"Many of you have watched the wolf of Wall Street and American psycho and instead of being disgusted by the depravity of their souls and the corporate world, aspire to be like them. This is where modern #SBF(s) sick for inspiration and come from. #FTX #FTT #cryptotwitter"
55,2022-11-16 19:39:35+00:00,xtremeVG,Margot Robbie almost quit Hollywood after The Wolf of Wall Street https://t.co/QqCHluE9x6 #movie #film #cinema
56,2022-11-16 19:22:17+00:00,BeelzeB_Sadah,"@Tender_oni I’ve watched in the last 36 hours 
Wolf of wall street 
Scooby Doo 
Deranged (Amazon prime)
Children shouldn’t play with dead things (Tubi)
And now I’m watching How Playboy Changed The World (hulu)"
57,2022-11-16 19:19:12+00:00,ziafranchina,"film da vedere almeno una volta nella vita:
-fight club
-pulp fiction
-american psycho
-the swan
-la la land
-the wolf of wall street
-taxi driver
-scar face 
-the truman show"
58,2022-11-16 19:17:10+00:00,HTTSpotlight,"My 4K UHD Blu-Ray of The Wolf Of Wall Street arrived this morning. My first ever buy from Arrow, and it's a great one! The video quality is amazing, and the packaging is *excellent*. A terrific addition to my Blu-Ray collection👍 https://t.co/7rbgLTdk7X"
59,2022-11-16 19:12:41+00:00,Shireeeeennn,some boys think watching Interstellar and the Wolf of Wall Street is enough personality development and it shows.
60,2022-11-16 19:12:00+00:00,brave0nft,"Martin Scorsese Had To Fight To Keep This Hilarious Scene In ‘The Wolf of Wall Street’
https://t.co/delivbOsvi"
61,2022-11-16 19:08:53+00:00,theunusualnegro,"@berner415 Goodfellas
Scarface 
Casino
The Town
The Departed
The wolf of wall street 
Donnie Brasco
Gotti (HBO version)
Paid in full
Belly"
62,2022-11-16 19:07:34+00:00,PicnicKDM,"Margot Robbie almost quit Hollywood after The Wolf of Wall Street.
 She may be playing Barbie, but Hollywood didn’t always seem like a dream house to Margot Robbie. As it turns out, Robbie almost left the scene altogether after her breakout film, The Wo https://t.co/Br8gjTa8a9 https://t.co/Wx1Q6o8YtL"
63,2022-11-16 18:59:50+00:00,BounceMovies,Margot Robbie almost quit Hollywood after The Wolf of Wall Street https://t.co/6sXICj2M29
64,2022-11-16 18:59:01+00:00,filmhottakeisms,"The Wolf of Wall Street (2013) is reminiscent of cobra, if you think about it mechanically."
65,2022-11-16 18:58:13+00:00,_TraderLife_,Book Club: The Wolf of Wall Street https://t.co/zpqqfEwnFm #trading #traderlife
66,2022-11-16 18:57:00+00:00,skyskywww,The wolf of wall street https://t.co/5dWbR4C720
67,2022-11-16 18:56:00+00:00,GirlsCornerIN,Margot Robbie almost quit Hollywood after The Wolf of Wall Street https://t.co/8eoa3jJKDj
68,2022-11-16 18:46:30+00:00,Sahu_Ent,Margot Robbie almost quit Hollywood after The Wolf of Wall Street https://t.co/2mCkI5C7su
69,2022-11-16 18:42:40+00:00,PintLyfeTingz,My silence is still compliant with everything I seek for in the state of the sheeple I gotta be a wolf like the one on wall street
